,mean_temperature,max_temperature,min_temperature,temperature_std,temperature_variance,exceed_70C_count,exceed_80C_count,exceed_90C_count,thermal_cycling_range,skewness,kurtosis
CPU,45.0870815819928,57.292559143653115,38.1160752130569,3.8071985086799383,14.494760484494744,0,0,0,19.176483930596213,0.12711171647136799,-0.9873923251447274
GPU,43.82411473490179,48.08770678946795,37.20797983494894,2.109152224006915,4.448523104033317,0,0,0,10.879726954519015,-0.3120398953488857,-0.572515304319622
PSU,37.97581708067739,41.18729092053684,35.16889763111987,1.4654883637319782,2.147656144233831,0,0,0,6.01839328941697,0.08634954735450637,-1.0943904294787616
