radius_um,confinement,flux_circular,flux_euler,loss_circular_dB,loss_euler_dB,improvement_percent
1.0,0.05,0.10584981126067287,0.0878764915576107,9.753099120283327,10.561272904814535,-8.286328012912993
1.0,0.05918367346938776,0.10694445839313432,0.09415310407489831,9.708417146140615,10.26165357427694,-5.698523454528863
1.0,0.06836734693877551,0.10804533306314461,0.1006761781745409,9.663939873989412,9.970732793097252,-3.174615354691686
1.0,0.07755102040816328,0.10915241863660426,0.10746505824702231,9.619666366026358,9.687327215835403,-0.7033596305169315
1.0,0.08673469387755103,0.11026569803962934,0.11440490888445083,9.575595688744468,9.41555340440802,1.6713559086936849
1.0,0.09591836734693879,0.11138515376139979,0.12176900935240458,9.531726912913436,9.144632271365289,4.061117624170678
1.0,0.10510204081632654,0.11251076785706411,0.12944884194665268,9.488059113560054,8.8790183042361,6.41902418644853
1.0,0.1142857142857143,0.11364252195069874,0.13730222103163706,9.444591369948698,8.623224374611151,8.696691716605294
1.0,0.12346938775510205,0.11478039723832169,0.14565158244952528,9.401322765561925,8.366847925648868,11.003503078337575
1.0,0.1326530612244898,0.11592437449095923,0.1543637779530519,9.358252388081139,8.114546008956326,13.289942689607544
1.0,0.14183673469387756,0.11707443405776409,0.16345490256925488,9.315379329367362,7.8660204891754395,15.55877424790122
1.0,0.1510204081632653,0.11823055586918543,0.17274345543199013,9.272702685442077,7.62598397346607,17.75877829622766
1.0,0.1602040816326531,0.1193927194401878,0.1826307961136043,9.230221556468178,7.384259877300073,19.999104765524592
1.0,0.16938775510204085,0.12056090387351971,0.1929468701464027,9.187935046730992,7.145622618667285,22.228198367492254
1.0,0.1785714285714286,0.12173508786302953,0.20347672725656527,9.14584226461939,6.914852562276535,24.39348545265665
1.0,0.18775510204081636,0.12291524969702858,0.21469088267614347,9.103942322606992,6.681863984492478,26.604719716863617
1.0,0.1969387755102041,0.12410136726169971,0.2263875506339977,9.062234337233452,6.451474592841902,28.80922791485186
1.0,0.20612244897959187,0.12529341804455077,0.23858591039421015,9.02071742908583,6.2235520701405065,31.00823610687904
1.0,0.21530612244897962,0.12649137913791147,0.25101947559663357,8.97939072278005,6.002925820407768,33.14773790632822
