time_s,data_signal,modulated_signal,and_gate_output,or_gate_output,xor_gate_output
0.0,0.0,0.011981176724208072,0.7071067811865476,1.0,0.2928932188134524
1.0005002501250626e-11,0.0,-0.014671726575894826,0.4316153959188075,0.9510079399921748,0.5193925440733673
2.0010005002501252e-11,0.0,-0.02035124258561409,0.12627812760979032,0.8088322038563198,0.6825540762465295
3.001500750375188e-11,0.0,0.004871979710297828,-0.09216371841417104,0.5874037559852842,0.6795674743994552
4.0020010005002504e-11,0.0,0.00919573438219067,-0.140192049573161,0.3084190679901425,0.4486111175633035
5.002501250625313e-11,0.0,-0.02086494415178602,0.0005560745730663343,-0.0007857909780602552,0.0013418655511265895
6.003001500750376e-11,0.0,-0.0035199552745539165,0.27626763661572823,-0.30991365490876155,0.5861812915244897
7.003501750875438e-11,0.0,-0.02132834682427999,0.58152829318077,-0.5886749020823937,1.1702031952631637
8.004002001000501e-11,0.0,-0.017608508383966694,0.7996260303383684,-0.8097553570001836,1.609381387338552
9.004502251125563e-11,0.0,0.0026941514153137774,0.8471743205758396,-0.8903634981150732,1.7986669664101913
1.0005002501250626e-10,0.0,0.004998430312734727,0.7059937601829888,-0.7059946320404149,1.7059925252480663
1.1005502751375689e-10,0.0,0.0007343359674896714,0.4300627023370782,-0.4524495032095039,1.3805835876212431
1.2006003001500751e-10,0.0,0.007092732004072265,0.1248794114701016,-0.1545715079550911,0.9327864644722877
1.3006503251625813e-10,0.0,-0.013857544391639465,-0.09287367814810898,0.15845204048579256,0.49325748092924226
1.4007003501750877e-10,0.0,-0.009856174091941032,-0.13994181002597342,0.4559498051749925,0.1669819092905949
1.500750375187594e-10,0.0,-0.0004896353382982264,0.0016708379158920559,0.7087717294328134,0.0006865330774870467
1.6008004002001002e-10,0.0,0.01638365299470553,0.27782071005125275,0.8921452794901894,0.03358676632973712
1.7008504252126063e-10,0.0,-0.034356117737819054,0.5829258814571558,0.9881027594106023,0.007018712771958313
1.8009004502251127e-10,0.0,0.018849960339352913,0.80033378571419,0.9872418599651317,0.010342724439519335
1.900950475237619e-10,0.0,0.010407753339310223,0.8469216429802877,0.9519750016135349,0.10505335863324716
2.0010005002501252e-10,0.0,-0.015399892819381089,0.7048772572542161,0.9999950602633605,0.29511780300914436
2.1010505252626314e-10,0.0,-0.004256687090514245,0.42850925288364833,0.9500314829132837,0.5215222300296354
2.2011005502751377e-10,0.0,-0.000697018568151044,0.12348295450887964,0.8069799067227851,0.6834969522139054
2.3011505752876441e-10,0.0,0.016563187056327876,-0.09357922741775081,0.5848571145017426,0.6784363419194934
2.4012006003001503e-10,0.0,-0.026899691646214214,-0.1396866950061376,0.30542761258135426,0.4451143075874918
2.5012506253126564e-10,0.0,0.014026204829324632,0.0027890776729941275,-0.003928945186298198,0.006718022859292325
2.6013006503251625e-10,0.0,-0.023265791690973488,0.2793745316857696,-0.3129005287172815,0.5922750604030511
2.701350675337669e-10,0.0,0.010993097343671446,0.5843212036541477,-0.5912128292894718,1.1755340329436197
