,mean_temperature,max_temperature,min_temperature,temperature_std,temperature_variance,exceed_70C_count,exceed_80C_count,exceed_90C_count,thermal_cycling_range,skewness,kurtosis
CPU,37.183328857336456,73.55910846906353,20.0,15.568845968157772,242.38896478022252,2.0,0.0,0.0,53.55910846906353,0.26446513072704364,-1.4421985313136085
GPU,41.74615358871726,77.52699287956759,20.0,19.281801650085228,371.7878748732294,19.0,0.0,0.0,57.52699287956759,0.21112067995425693,-1.5120397340073257
Memory,31.258845589408534,56.501095136547235,20.0,9.770691304840572,95.46640857448716,0.0,0.0,0.0,36.501095136547235,0.20186982127837347,-1.3767818051139395
Storage,26.367524176169624,49.87919392700793,20.0,6.213357175273604,38.60580738752398,0.0,0.0,0.0,29.879193927007933,0.5951364543725256,-0.3053892660037598
Optical_Interface,31.171214236909137,63.29398661670434,20.0,11.08003936769321,122.76727238963137,0.0,0.0,0.0,43.29398661670434,0.3980629544200619,-1.27993234286874
